tiempo,salida,entrada
92.6,0.0901,10
92.7,-0.0843,10
92.8,-0.0476,10
92.9,0.0239,10
93,0.0757,10
93.1,0.1756,10
93.2,0.1099,10
93.3,0.0274,10
93.4,-0.0812,10
93.5,0.0811,10
93.6,-0.1043,10
93.7,0.0668,10
93.8,-0.1211,10
93.9,0.0757,10
94,-0.0603,10
94.1,0.1735,10
94.2,0.0006,10
94.3,0.0007,10
94.4,0.0685,10
94.5,-0.1216,10
94.6,0.1029,10
94.7,0.0988,10
94.8,-0.0038,10
94.9,0.0124,10
95,0.0131,10
95.1,0.1329,10
95.2,0.012,10
95.3,-0.0861,10
95.4,0.0635,10
95.5,0.1434,10
95.6,0.1652,10
95.7,-0.1085,10
95.8,-0.0834,10
95.9,0.0239,10
96,0.026,10
96.1,0.0254,10
96.2,-0.0322,10
96.3,-0.0065,10
96.4,0.0418,10
96.5,0.1655,10
96.6,-0.002,10
96.7,-0.0328,10
96.8,0.1191,10
96.9,-0.0452,10
97,0.0242,10
97.1,-0.001,10
97.2,-0.083,10
97.3,0.0394,10
97.4,0.1051,10
97.5,0.002,10
97.6,-0.0876,10
97.7,-0.1141,10
97.8,0.1224,10
97.9,-0.1153,10
98,0.0109,10
98.1,0.1601,10
98.2,0.1347,10
98.3,0.0737,10
98.4,0.2012,10
98.5,-0.0408,10
98.6,-0.0894,10
98.7,0.1491,10
98.8,-0.0808,10
98.9,-0.0202,10
99,-0.0918,10
99.1,0.0286,10
99.2,0.0163,10
99.3,0.0969,10
99.4,0.0853,10
99.5,0.1194,10
99.6,0.0823,10
99.7,0.1009,10
99.8,-0.006,10
99.9,-0.1623,10
100,0.0009,10
100.1,0.0708,10
100.2,0.0204,10
100.3,0.0073,10
100.4,0.008,10
100.5,-0.012,10
100.6,0.0546,10
100.7,0.0049,10
100.8,0.0128,10
100.9,0.1126,10
101,-0.0135,10
101.1,-0.1156,10
101.2,0.0898,10
101.3,0.0228,10
101.4,0.1132,10
101.5,-0.0126,10
101.6,0.0052,10
101.7,-0.013,10
101.8,0.0865,10
101.9,0.2242,10
102,-0.0364,10
102.1,-0.0985,10
102.2,0.0492,10
102.3,-0.0277,10
102.4,0.1314,10
102.5,0.1623,10
102.6,0.1416,10
102.7,-0.0592,10
102.8,0.06,10
102.9,0.0322,10
103,0.0898,10
103.1,0.2747,10
103.2,-0.0442,10
103.3,0.0413,10
103.4,0.0513,10
103.5,0.2046,10
103.6,0.1302,10
103.7,-0.0009,10
103.8,0.0928,10
103.9,-0.03,10
104,0.005,10
104.1,-0.0313,10
104.2,0.157,10
104.3,0.0969,10
104.4,-0.0529,10
104.5,0.1674,10
104.6,0.0532,10
104.7,0.0262,10
104.8,0.0591,10
104.9,-0.0678,10
105,0.0074,10
105.1,0.137,10
105.2,0.1406,10
105.3,0.0639,10
105.4,-0.0287,10
105.5,0.0615,10
105.6,0.1777,10
105.7,0.0729,10
105.8,0.1957,10
